"Domain","English","Kiswahili","Ekegusii","Notes"
"Governance","Check your registration details through the official IEBC verification channels and correct any errors early.","Kagua taarifa zako za usajili kupitia njia rasmi za uthibitishaji za IEBC na urekebishe makosa yoyote mapema.","","Elections and voter education"
"Governance","Polling stations open in the morning; carry your identification document and follow the guidance of election officials.","Vituo vya kupiga kura hufunguliwa asubuhi; beba hati yako ya kitambulisho na ufuate mwongozo wa maafisa wa uchaguzi.","","Elections and voter education"
"Governance","Selling or buying votes is a crime punishable by law; report anyone attempting to buy your vote.","Kuuza au kununua kura ni uhalifu unaoadhibiwa na sheria; ripoti mtu yeyote anayejaribu kununua kura yako.","","Elections and voter education"
"Governance","The IEBC will provide assisted voting for persons with disabilities and priority queues for the elderly and expectant mothers.","IEBC itatoa msaada wa kupiga kura kwa watu wenye ulemavu na foleni za kipaumbele kwa wazee na wakina mama wajawazito.","","Elections and voter education"
"Governance","Peace begins with each of us; accept election results peacefully and use legal channels for any disputes.","Amani huanza na kila mmoja wetu; kubali matokeo ya uchaguzi kwa amani na tumia njia za kisheria kwa migogoro yoyote.","","Elections and voter education"
"Governance","Huduma Kenya reminds citizens that ID, passport and birth certificate services are available at all Huduma Centres.","Huduma Kenya inawakumbusha raia kwamba huduma za kitambulisho, pasipoti na vyeti vya kuzaliwa zinapatikana katika vituo vyote vya Huduma.","","Public service delivery"
"Governance","Save time by booking government services online through the eCitizen portal before visiting any office.","Okoa muda kwa kupanga huduma za serikali mtandaoni kupitia lango la eCitizen kabla ya kutembelea ofisi yoyote.","","Public service delivery"
"Governance","Every government office must display its service charter showing waiting times and requirements for each service.","Kila ofisi ya serikali lazima ionyeshe mkataba wake wa huduma unaonyesha muda wa kusubiri na mahitaji ya kila huduma.","","Public service delivery"
"Governance","If a public officer delays or denies you service unfairly, report to the office supervisor or the complaints desk.","Iwapo afisa wa umma akikuchelewesha au kukunyima huduma bila sababu, ripoti kwa msimamizi wa ofisi au dawati la malalamiko.","","Public service delivery"
"Governance","The Ministry of Interior reminds applicants that birth and death certificates can now be applied for online.","Wizara ya Mambo ya Ndani inawakumbusha waombaji kwamba vyeti vya kuzaliwa na vya kifo sasa vinaweza kuombwa mtandaoni.","","Public service delivery"
"Governance","Applicants for passports should book appointments online and carry all required documents to avoid repeat visits.","Waombaji wa pasipoti wanapaswa kupanga miadi mtandaoni na kubeba nyaraka zote zinazohitajika ili kuepuka kurudiwa.","","Public service delivery"
"Governance","Government offices remain committed to serving all Kenyans equally regardless of their tribe, religion or background.","Ofisi za serikali zinaahidi kuhudumia Wakenya wote kwa usawa bila kujali kabila, dini au asili yao.","","Public service delivery"
"Governance","Older persons and persons with disabilities are given priority service at all public offices.","Wazee na watu wenye ulemavu wanapewa huduma ya kipaumbele katika ofisi zote za umma.","","Public service delivery"
"Governance","Members of the public are reminded to carry original identification documents when collecting official certificates.","Wananchi wanakumbushwa kubeba nyaraka halisi za kitambulisho wanapokusanya vyeti rasmi.","","Public service delivery"
"Governance","Feedback boxes and digital surveys are available at Huduma Centres to help improve service delivery.","Visanduku vya maoni na utafiti wa kidijitali vinapatikana katika vituo vya Huduma ili kusaidia kuboresha utoaji wa huduma.","","Public service delivery"
"Governance","County governments now issue business permits, health certificates and land rates services at sub-county offices.","Serikali za kaunti sasa hutoa vibali vya biashara, vyeti vya afya na huduma za kodi za ardhi katika ofisi za wilaya ndogo.","","Devolution and local governance"
"Governance","Residents are urged to pay their business permits early to avoid penalties and keep county services running.","Wakazi wanahimizwa kulipa vibali vyao vya biashara mapema ili kuepuka faini na kuwezesha huduma za kaunti kuendelea.","","Devolution and local governance"
"Governance","Devolution brings services closer to you; visit your ward administrator's office for help with county matters.","Ugatuzi unakuletea huduma karibu; tembelea ofisi ya msimamizi wa wadi yako kwa msaada kuhusu masuala ya kaunti.","","Devolution and local governance"
"Governance","County health facilities are open to all residents; register your household at the nearest dispensary or health centre.","Vituo vya afya vya kaunti viko wazi kwa wakazi wote; sajili kaya yako katika zahanati au kituo cha afya kilicho karibu.","","Devolution and local governance"
"Governance","The county government will repair rural roads in phases; report impassable sections to your ward administrator.","Serikali ya kaunti itakarabati barabara za vijijini kwa awamu; ripoti sehemu zisizopitika kwa msimamizi wa wadi yako.","","Devolution and local governance"
"Governance","Local communities are encouraged to form water user committees to manage boreholes and shared water points.","Jamii za mitaa zinahimizwa kuunda kamati za watumiaji wa maji ili kusimamia visima na sehemu za pamoja za kuchota maji.","","Devolution and local governance"
"Governance","County bursaries target needy students in local schools; application forms are available at ward offices.","Misaada ya masomo ya kaunti inalenga wanafunzi maskini katika shule za mitaa; fomu za maombi zinapatikana katika ofisi za wadi.","","Devolution and local governance"
"Governance","Market traders must display valid county licences and keep their stalls clean as required by public health rules.","Wafanyabiashara wa masoko lazima waonyeshe leseni halali za kaunti na kuziweka duka zao safi kama inavyohitajika na kanuni za afya ya umma.","","Devolution and local governance"
"Governance","The county assembly holds public sessions; residents are welcome to attend and follow how their representatives work.","Bunge la kaunti hufanya vikao vya umma; wakazi wanakaribishwa kuhudhuria na kufuatilia jinsi wawakilishi wao wanavyofanya kazi.","","Devolution and local governance"
"Governance","If a county service fails you, use the complaints desk at the governor's office or the county call centre to seek help.","Iwapo huduma ya kaunti ikukwaze, tumia dawati la malalamiko katika ofisi ya gavana au kituo cha simu cha kaunti kutafuta msaada.","","Devolution and local governance"
